Cloudiness,Weather_type,latitude,longitude,City_id,Visibility,CountryID,Country,Sunrise_Time,Sunset_Time,Temperature,humidity,pressure,Min_temp,Max_temp,Wind_Speeed,Wind_Dire,Data_cal_Time,cod
90,Rain,37.78,-122.42,420008451,9656,392,US,22-03-2018 19:38,23-03-2018 07:54,286.65,81,1011,285.15,289.15,9.8,330,23-03-2018 00:10,200
75,Clouds,38.58,-121.49,420005968,16093,378,US,22-03-2018 19:34,23-03-2018 07:50,288.42,82,1009,285.15,289.15,7.2,200,23-03-2018 00:05,200
75,Clouds,38.58,-121.49,420005608,16093,378,US,22-03-2018 19:34,23-03-2018 07:50,288.42,82,1009,285.15,289.15,7.2,200,23-03-2018 00:05,200
90,Rain,37.38,-122.24,420006641,4023,428,US,22-03-2018 19:38,23-03-2018 07:53,287.16,87,1012,285.15,290.15,5.1,300,23-03-2018 00:10,200
90,Rain,37.38,-122.12,420006345,4023,428,US,22-03-2018 19:37,23-03-2018 07:52,287.15,87,1012,285.15,290.15,5.1,300,23-03-2018 00:10,200
90,Rain,34.07,-118.4,420004549,9656,416,US,22-03-2018 19:23,23-03-2018 07:37,288.8,87,1018,286.15,291.15,1.37,150.507,23-03-2018 00:03,200
1,Clear,34.02,-84.62,420007590,16093,760,US,22-03-2018 17:08,23-03-2018 05:22,284.65,34,1024,284.15,286.15,5.1,300,23-03-2018 00:05,200
20,Clouds,40.73,-73.99,420027013,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027018,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027025,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.69,-74.02,420027028,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.69,-74.02,420027030,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027033,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027043,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
1,Clear,37.28,-76.73,420038434,16093,2888,US,22-03-2018 16:36,23-03-2018 04:51,282.15,36,1016,281.15,283.15,5.1,300,23-03-2018 00:21,200
1,Clear,35.47,-81.12,420021571,16093,1797,US,22-03-2018 16:54,23-03-2018 05:08,284.15,25,1020,283.15,285.15,4.6,320,23-03-2018 00:20,200
1,Clear,35.48,-81.21,420021576,16093,1797,US,22-03-2018 16:54,23-03-2018 05:08,284.25,25,1020,283.15,285.15,4.6,320,23-03-2018 00:20,200
1,Clear,35.31,-80.76,420022428,16093,1797,US,22-03-2018 16:52,23-03-2018 05:07,284.43,25,1020,283.15,285.15,4.6,320,23-03-2018 00:20,200
1,Clear,34.11,-84.31,420009249,16093,760,US,22-03-2018 17:07,23-03-2018 05:21,284.54,34,1024,284.15,286.15,5.1,300,23-03-2018 00:10,200
1,Clear,33.86,-84.34,420009398,16093,760,US,22-03-2018 17:07,23-03-2018 05:21,284.69,34,1024,284.15,286.15,5.1,300,23-03-2018 00:10,200
